"ID_CRUISE","DEP_CRUISE_DATE","DEP_CRUISE_TIME","SHIP","DEP_CITY","DEP_PORT","ARR_CITY","ARR_PORT","ARR_CRUISE_DATE","ARR_CRUISE_TIME","TOTAL_ROOM_EXT","TOTAL_ROOM_INT","PRICE_EXT","PRICE_INT"  
"CR2001",2019-03-01,10:00,"BALEARIA CRUISE   ","VALENCIA  ","PORT OF VALENCIA  ","VALENCIA  ","PORT OF VALENCIA  ",2019-03-21,10:00,150,220,150.00,115.00
"CR2002",2019-03-15,11:00,"MEDITERRANEA   CRU","VALENCIA  ","PORT OF VALENCIA  ","BARCELONA ","PORT OF BARCELONA ",2019-03-30,11:00,150,230,175.00,145.00
"CR2003",2019-05-01,10:00,"TUI CRUISE I      ","MALAGA    ","PORT OF MALAGA    ","MALAGA    ","PORT OF MALAGA    ",2019-05-18,10:00,150,240,150.00,100.00
"CR2004",2019-06-15,12:00,"COSTA CRUCEROS    ","MALAGA    ","PORT OF MALAGA    ","VALENCIA  ","PORT OF VALENCIA  ",2019-06-22,12:00,212,260,165.00,135.00
"CR2005",2019-06-10,13:00,"MSC CRUCEROS      ","BARCELONA ","PORT OF BARCELONA ","VENECIA   ","PORT OF VENECIA   ",2019-06-21,13:00,200,280,200.00,165.00
"CR2006",2019-07-01,18:00,"COSTASOL CRUCEOS  ","MARBELLA  ","PORT OF MARBELLA  ","MALAGA    ","PORT OF MALAGA    ",2019-07-10,18:00,135,180,150.00,115.50
"CR2007",2019-07-20,10:00,"NAUTALIA CRUCEROS ","VENECIA   ","PORT OF VENECIA   ","BARCELONA ","PORT OF BARCELONA ",2019-07-31,10:00,230,200,170.00,135.00
"CR2008",2019-08-01,09:00,"TUI CRUISE II     ","ROTTERDAM ","PORT OF ROTTERDAM ","ROTTERDAM ","PORT OF ROTTERDAM ",2019-08-25,09:00,210,210,140.00,115.00
"CR2009",2019-08-10,11:00,"PULLMANTUR CRUISE ","ROMA      ","PORT OF ROMA      ","ROMA      ","PORT OF ROMA      ",2019-09-01,11:00,260,200,180.00,145.00
"CR2010",2019-11-01,10:30,"ROYAL CARIBEAN    ","COPENHAGUE","PORT OF COPENHAGUE","COPENHAGUE","PORT OF COPENHAGUE",2019-11-21,10:30,245,195,195.00,165.00